Index,X,Y
1.0,1.0,0.6336234860397298
2.0,1.001,0.5927506690183105
3.0,1.002,0.7930924548036303
4.0,1.003,0.8957460516415173
5.0,1.004,0.7122312291144699
6.0,1.005,0.7740900186429175
7.0,1.006,0.6185900265326577
8.0,1.007,0.710045406649539
9.0,1.008,0.9537324192657699
10.0,1.009,0.6908259383215464
11.0,1.01,0.8407433668170453
12.0,1.011,0.7965018285543717
13.0,1.012,0.8240129134740289
14.0,1.013,0.7454494013924267
15.0,1.014,0.9565187572683517
16.0,1.015,0.9535573538168896
17.0,1.016,0.8155416489170277
18.0,1.017,0.8604533797667993
19.0,1.018,0.63392853160065
20.0,1.019,0.8410681905210401
21.0,1.02,0.7979429511047555
22.0,1.021,0.6371474580717271
23.0,1.022,0.8278454495766556
24.0,1.023,0.631530374184513
25.0,1.024,0.5774378265229838
26.0,1.025,0.6817340640556787
27.0,1.026,0.6536920798969088
28.0,1.027,0.7673502843084621
29.0,1.028,0.6325296292664302
30.0,1.029,0.9555762722818297
31.0,1.03,0.7347462908394374
32.0,1.031,0.6272148012543215
33.0,1.032,0.626070610749321
34.0,1.033,0.7930982491215643
35.0,1.034,0.9231258580767422
36.0,1.035,0.744354436349375
37.0,1.036,0.6828355374555926
38.0,1.037,0.6121310540423016
39.0,1.038,0.6430423369964691
40.0,1.039,0.816761195966
41.0,1.04,0.8593884174876696
42.0,1.041,0.6607774068342007
43.0,1.042,0.6557521765881996
44.0,1.043,0.7130134132137652
45.0,1.044,0.7758112823336584
46.0,1.045,0.785062976438753
47.0,1.046,0.8240714151006612
48.0,1.047,0.5928407015616695
49.0,1.048,0.7412243020240372
50.0,1.049,0.8055909473068642
51.0,1.05,0.735921770974617
52.0,1.051,0.6363356287835413
53.0,1.052,0.6972570855326556
54.0,1.053,0.5048824309175377
55.0,1.054,0.9011304819228158
56.0,1.055,0.5680860761663438
57.0,1.056,0.8017381193753839
58.0,1.057,0.5945262686655095
59.0,1.058,0.7586147857918814
60.0,1.059,0.8215487146821645
61.0,1.06,0.6994273648746094
62.0,1.061,0.6612609991147318
63.0,1.062,0.6877020652938158
64.0,1.063,0.8146746153368459
65.0,1.064,0.7495487988768547
66.0,1.065,0.6970028839861785
67.0,1.066,0.7285707745329312
68.0,1.067,0.7328744590120526
69.0,1.068,0.5600739551273626
70.0,1.069,0.683427459298146
71.0,1.07,0.5631541364448357
72.0,1.071,0.5913033596733175
73.0,1.072,0.7841548777452936
74.0,1.073,0.8074141069400903
75.0,1.074,0.5130689096917411
76.0,1.075,0.7192153196797473
77.0,1.076,0.6958639472904059
78.0,1.077,0.6474410726935028
79.0,1.078,0.8060950131294651
80.0,1.079,0.553413387355522
81.0,1.08,0.5830292681083799
82.0,1.081,0.6589808395944193
83.0,1.082,0.6740827428519568
84.0,1.083,0.6337825856358156
85.0,1.084,0.7699694846775818
86.0,1.085,0.6199539255445579
87.0,1.086,0.6483446098958694
88.0,1.087,0.6097947283262676
89.0,1.088,0.61880758711247
90.0,1.089,0.4915521429025175
91.0,1.09,0.5874336447574388
92.0,1.091,0.4762383560501342
93.0,1.092,0.4205351588525975
94.0,1.093,0.45332316183458354
95.0,1.094,0.672137146792343
96.0,1.095,0.5540679615446591
97.0,1.096,0.712953541213508
98.0,1.097,0.6320974842553113
99.0,1.098,0.4980643202284273
100.0,1.099,0.6680231544091177
101.0,1.1,0.8171731366375979
102.0,1.101,0.7061521595155452
103.0,1.102,0.5455830412494995
104.0,1.103,0.4812671158310849
