Index,X,Y
1.0,0.0,0.8668762712997812
2.0,0.003,0.9105001882120921
3.0,0.006,0.9905658611115621
4.0,0.009000000000000001,0.8333163519908464
5.0,0.012,0.9444633960493096
6.0,0.015,0.9773393962896306
7.0,0.018000000000000002,0.8103945102608078
8.0,0.021,1.0031261602307555
9.0,0.024,0.9922433781915652
10.0,0.027,0.9546477343649322
11.0,0.03,1.0412198346311958
12.0,0.033,0.8234016514907232
13.0,0.036000000000000004,0.8520419697928103
14.0,0.039,0.8977011347606453
15.0,0.042,1.0213114070754086
16.0,0.045,0.8616938936530648
17.0,0.048,0.9146347418684415
18.0,0.051000000000000004,0.8520426336061195
19.0,0.054,0.940322869563417
20.0,0.057,0.7597548055703094
21.0,0.06,0.922107632327546
22.0,0.063,0.8761018977539081
23.0,0.066,0.8719085818826842
24.0,0.069,0.8764249520847274
25.0,0.07200000000000001,0.6886375971415719
26.0,0.075,0.9149339762416351
27.0,0.078,0.8020823910047662
28.0,0.081,0.9020630215929991
29.0,0.084,0.9372153517372434
30.0,0.08700000000000001,0.8769846202435174
31.0,0.09,0.7644073728614883
32.0,0.093,0.715232234505913
33.0,0.096,0.7504154649307564
34.0,0.099,0.8525160193673478
35.0,0.10200000000000001,0.7086977049240859
36.0,0.105,0.8064608985812403
37.0,0.108,0.9024388828335994
38.0,0.111,0.8048803242856181
39.0,0.114,0.9405539782735591
40.0,0.117,0.8176529174075484
41.0,0.12,0.8078197925407145
42.0,0.123,0.925342281142126
43.0,0.126,0.8945856679034945
44.0,0.129,0.93762340491152
45.0,0.132,0.8284993575565276
46.0,0.135,0.7912569049990047
47.0,0.138,0.8672667617469741
48.0,0.14100000000000001,0.8929470227452296
49.0,0.14400000000000002,0.950908011440655
50.0,0.147,0.8423632169026062
51.0,0.15,0.7580433526841619
52.0,0.153,0.8148983971070215
53.0,0.156,0.8812721992754061
54.0,0.159,0.8361370031719844
55.0,0.162,0.797102432377181
56.0,0.165,0.8159177809428774
57.0,0.168,0.8778649660332678
58.0,0.171,0.8891148292775582
59.0,0.17400000000000002,0.8753655334435427
60.0,0.177,0.7291697112021205
61.0,0.18,0.867084528816088
62.0,0.183,0.8272077577612961
63.0,0.186,0.7108250763283968
64.0,0.189,0.7731415852295321
65.0,0.192,0.8126532043089042
66.0,0.195,0.8526805866775832
67.0,0.198,0.7358887895692265
68.0,0.201,0.8500342264490607
69.0,0.20400000000000001,0.8003534547936578
70.0,0.20700000000000002,0.7925402895128075
71.0,0.21,0.8701577337747798
72.0,0.213,0.7228233087784209
73.0,0.216,0.8456621064778094
74.0,0.219,0.7070449372296852
75.0,0.222,0.8394071146296506
76.0,0.225,0.7104070544554552
77.0,0.228,0.7690200681457127
78.0,0.231,0.7706834053499803
79.0,0.234,0.9016607857606735
80.0,0.23700000000000002,0.8108928805451896
81.0,0.24,0.8993710497670016
82.0,0.243,0.8384213055220132
83.0,0.246,0.8673400094963141
84.0,0.249,0.8105443433044626
85.0,0.252,0.6835021895350646
86.0,0.255,0.7984704241809597
